,Output,AI vs DShareC,AI vs CShareD,F-Measure vs DShareC,F-Measure vs CShareD,Geometric Aggregtion vs DShareC,Geometric Aggregtion vs CShareD,AI vs RSI,AI vs F-Measure,DShareC vs CShareD
SY,1942.0,0.35545680575221245,1.0,0.3859049825683307,0.997948717948718,0.9955527475831937,0.42905982905982903,1.0,0.997948717948718,0.35545680575221245
MV,487.0,0.35048071058034336,1.0,0.3844825705620185,0.9965217391304347,0.996080128950354,0.3982608695652174,1.0,0.9965217391304347,0.35048071058034336
SS,1737.0,0.31845394990427234,1.0,0.3837866077256644,0.9952136752136752,0.995382378325921,0.36683760683760686,1.0,0.9952136752136752,0.31845394990427234
ME,1385.0,0.3742782628178013,1.0,0.38236452158238343,0.9992307692307693,0.994224768102431,0.4323076923076923,1.0,0.9992307692307693,0.3742782628178013
TD,286.0,0.3810206972285434,1.0,0.3810206972285434,1.0,0.976798514713175,0.47218045112781953,1.0,1.0,0.3810206972285434
UY,4749.0,0.336809715984284,1.0,0.3775004329407609,0.9945299145299146,0.987177309692008,0.4352136752136752,1.0,0.9945299145299146,0.336809715984284
KW,5385.0,0.3429059829059829,1.0,0.37094017094017095,0.9958974358974358,0.9883760683760684,0.44,1.0,0.9958974358974358,0.3429059829059829
QA,8206.0,0.12549153884896672,1.0,0.3696358405878284,0.948034188034188,0.9878611872879152,0.23623931623931624,1.0,0.948034188034188,0.12549153884896672
XK,1289.0,0.32691589005382027,1.0,0.36850236370024264,0.9969230769230769,0.994224768102431,0.37538461538461537,1.0,0.9969230769230769,0.32691589005382027
TO,97.0,0.36797430285034527,1.0,0.36797430285034527,1.0,0.9773756483025025,0.5140350877192983,1.0,1.0,0.36797430285034527
MR,145.0,0.3634080265422099,1.0,0.3634080265422099,1.0,0.9843137293498254,0.45553359683794464,1.0,1.0,0.3634080265422099
BY,5330.0,0.1617094017094017,1.0,0.35794871794871796,0.9446153846153846,0.9965811965811966,0.2082051282051282,1.0,0.9446153846153846,0.1617094017094017
